depth_cm,age_calBP,d18OcarbVPDB,d13CcarbVPDB
77.71,1610.5,-4.74,4.71
77.81,1613.1,-4.91,4.38
77.91,1615.7,-4.83,4.47
78.01,1618.3,-5.16,4.07
78.11,1620.9,-5.07,4.23
78.21,1623.5,-4.98,4.31
78.31,1626.1,-4.91,4.33
78.41,1628.7,-5.04,4.43
78.51,1631.3,-5.92,3.52
78.63,1634.4,-4.36,4.33
78.75,1637.5,-5.43,4.44
78.87,1640.6,-5.31,4.72
78.99,1643.7,-5.26,4.62
79.1,1646.6,-5.46,4.08
79.22,1649.7,-5.7,3.83
79.34,1652.8,-5.26,4.53
79.46,1656,-5.24,4.57
79.58,1659.1,-5.36,4.5
79.69,1661.9,-5.3,4.45
79.8,1664.8,-5.26,4.54
79.9,1667.4,-5.31,4.41
79.99,1669.7,-5.24,4.61
80.09,1672.3,-5.23,4.42
80.18,1674.7,-5.45,4.1
80.28,1677.3,-5.83,3.19
80.37,1679.6,-6.21,3.24
80.56,1684.6,-4.88,4.8
80.66,1687.2,-5.18,4.68
80.75,1689.5,-4.95,4.87
80.85,1692.1,-4.7,5.02
80.94,1694.4,-4.93,4.99
81.04,1697,-4.93,4.88
81.13,1699.4,-4.94,4.83
81.23,1702,-4.69,4.71
81.32,1704.3,-5.12,4.83
81.42,1706.9,-5.29,4.59
81.51,1709.3,-5.17,5.02
81.61,1711.9,-5.59,4.46
81.7,1714.2,-4.78,4.79
81.8,1716.8,-5.24,4.69
81.9,1719.4,-4.87,4.65
82,1722,-5.08,5
82.1,1724.6,-4.92,4.69
82.2,1727.2,-5.07,5.1
82.3,1729.8,-4.88,4.94
82.4,1732.4,-5.11,4.62
82.5,1735,-5.18,4.88
82.6,1737.6,-5.08,4.38
82.7,1740.2,-5.07,4.6
82.8,1742.8,-5.27,4.49
82.9,1745.4,-5.12,4.56
83,1748,-5.09,4.72
83.1,1750.6,-5.12,4.63
83.2,1753.2,-5.19,4.48
83.3,1755.8,-5.38,4.63
83.4,1758.4,-5.3,4.49
83.6,1763.6,-5.68,4.74
83.7,1766.2,-5.41,4.66
83.8,1768.8,-5.6,4.1
83.9,1771.4,-5.39,4.68
84,1774,-4.74,4.86
84.1,1776.6,-5.04,5.01
84.2,1779.2,-4.74,3.97
84.31,1782.1,-6.35,3.57
84.41,1784.7,-5.86,3.86
84.52,1787.5,-5.9,4.16
84.62,1790.1,-5.84,4.03
84.72,1792.7,-6.29,3.71
84.83,1795.6,-5.95,4.11
84.93,1798.2,-5.73,4.4
85.04,1801,-5.06,4.72
85.14,1803.6,-5.51,4.64
85.24,1806.2,-5.2,4.59
85.35,1809.1,-5.47,4.65
85.45,1811.7,-6.11,4.03
85.56,1814.6,-5.82,4.51
85.66,1817.2,-5.93,4.29
85.76,1819.8,-6.76,2.89
85.87,1822.6,-6.21,4
85.97,1825.2,-5.2,5.05
86.08,1828.2,-5.02,4.96
86.18,1830.9,-5.13,4.68
86.28,1833.6,-5.39,5.03
86.39,1836.5,-5.13,4.73
86.49,1839.2,-5.2,4.91
86.6,1842.2,-5.07,5.02
86.7,1844.9,-5.27,5.23
86.8,1847.6,-5.5,4.54
86.91,1850.6,-5.47,4.32
87.01,1853.3,-5.09,4.84
87.12,1856.1,-5.05,4.78
87.22,1858.7,-4.85,4.9
87.32,1861.3,-4.95,4.93
87.43,1864.2,-5.17,4.68
